2 séances par semaine;lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' (60%VMA) +5x100m(110%VMA)-100m(50%VMA);Fractionné;x;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;jogg 50' (60%VMA);x;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;jogg 1h30;x;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;x;Fractionné;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' + 5x100-100 ou sortie longue 1h30 ;x;Fractionné;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;Jogg 50' +5x100-100;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;jogg50' +5x100-100 ou sortie longue 1h30;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +10x100-100;x;x;Fractionné;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' + 10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;x;Fractionné;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;Jogg 50' +10x100-100;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;jogg 50' + 10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +10x100-100;x;x;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' + 10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;x;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;x;jogg 50' + 5x100-100 ou jogg 1h30;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;x;x;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;x;x;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;x;x;Jogg 50' +5x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;x;x;Jogg 50' +5x100-100 ou sortie longue de 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;x;x;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;x;x;x;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;x;x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +5x100-100;Fractionné;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 1h30;x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 50';x;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +5x100-100;x;Fractionné;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +5x100-100 ou sortie longue 1h30 1/2 sem;x;Fractionné;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;jogg 50' +5x100-100 ou sortie longue 1h30;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;Jogg 50' +5x100-100;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +10x100-100;x;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' + 10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;x;jogg 50' + 10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +10x100-100;x;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' +10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;x;x;50' +10x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;x;x;Jogg 50' +10x100-100 ou sortie longue de 1h30 (60% VMA) avec 6' une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +5x100-100;x;x;x;x;Fractionné
